accounts_opened_last_24_months,bankruptcies_last_18_months,collections_excluding_medical,credit_history,credit_inquiries_last_6_months,judgements_last_18_months,months_since_most_recent_inquiry,ninety_plus_delinquencies_last_18_months,number_of_accounts_currently_30dpd,open_credit_accounts,pre_loan_debt_to_income,public_records,revolver_utilization,tax_liens_last_18_months,thirty_plus_delinquencies_last_3_months,thirty_plus_delinquencies_last_24_months,total_current_balance,total_high_credit_limit,annual_income,historical_result
4,0,0,108,1,0,0,0,0,8,0.286125,0,0.678112,0,0,0,57345,74010,32000,2230
5,0,1,118,1,0,0,0,0,8,0.299921,0,0.278913,0,0,0,56137,61517,42000,1910
6,0,1,116,9,0,0,6,0,18,0.29208,0,0.126,0,2,20,178448,170555,100000,1510
8,0,0,146,1,0,3,44,0,8,0.6085,0,0.804,0,12,44,17795,11719,24000,990
2,0,3,292,2,0,5,0,0,3,0.817694,0,0.884545,0,0,0,39785,229247,85000,1220
10,0,0,286,4,0,1,0,0,11,0.0557032,0,0.121418,0,0,0,659690,882441,220000,3330
0,0,1,347,1,0,0,0,0,4,0.0182667,0,0.2584,0,1,18,135045,159080,90000,2070
5,0,0,42,4,0,1,0,0,9,2.3232,0,0,0,0,0,28718,27750,5000,1680
5,0,7,248,2,0,1,62,0,5,0.422143,2,0,0,0,60,5290,5581,28000,760
1,0,0,38,6,0,1,1,0,2,0.309667,0,0,0,0,0,40330,40739,36000,980
3,0,0,213,0,0,17,0,0,2,0.14707,0,0.387,0,0,0,23431,28040,43000,2090
2,0,2,228,0,0,null,0,0,22,3.89377,0,0.986568,0,1,1,90419,51877,52000,1410
6,0,3,281,2,0,2,0,0,15,0.136724,0,0.988819,0,2,6,92104,101578,110500,1360
2,0,6,71,2,0,4,2,0,0,5.7387,0,0,0,0,0,27214,0,40000,410
3,0,0,239,0,0,20,0,0,7,0.21984,1,0.0969318,0,0,0,46953,83424,75000,2770
0,0,3,75,1,0,2,1,0,0,0,0,0,0,0,0,0,0,30000,80
1,0,3,71,4,0,3,3,0,2,0.159448,0,0,0,0,6,9309,8275,87000,1040
6,0,0,114,6,0,3,0,0,11,0.409827,0,0.741756,0,0,0,116309,115561,55000,2290
16,0,2,123,8,0,0,0,0,20,0.152743,4,0.695758,0,0,2,59621,62983,70000,1800
18,0,0,306,4,0,1,0,0,12,0.138208,0,0.47746,0,0,10,36066,48989,75000,2060
0,0,1,115,1,0,4,0,0,0,0.391846,0,0,0,0,0,849,0,26000,320
5,0,0,105,0,0,13,0,0,22,0.3188,0,0.349013,0,0,0,84849,142410,60000,2680
3,0,1,137,3,0,0,0,0,2,0.122,0,0.857143,0,0,13,1277,1050,42000,910
8,0,2,73,4,0,1,1,0,8,0.2379,0,0.847576,0,0,0,4485,3300,40000,1330
7,0,1,88,1,0,3,0,0,7,0.4554,0,0,0,0,3,75642,77680,40000,1770
