accounts_opened,bankruptcies,collections,credit_history,credit_inquiries_last_6_months,judgements,past_due_accounts,open_accounts,card_utilization,tax_liens,high_credit_limit,annual_income,historical_result
4,0,0,346,2,0,0,6,0.493271,0,44208,60000,FALSE
1,0,7,187,2,0,0,0,0,0,0,19344,TRUE
8,0,0,234,7,0,0,6,0.625556,0,27971,1800,FALSE
21,0,0,110,13,0,0,19,0.473017,0,66713,76000,FALSE
5,0,0,106,3,0,0,5,0.35632,0,24442,50000,FALSE
5,0,0,218,4,0,0,6,1.27,0,172172,87264,FALSE
4,0,0,192,7,0,0,11,0.670513,0,224937,70000,FALSE
3,0,0,270,4,0,0,4,1.06333,0,83296,56000,FALSE
4,0,0,131,0,0,0,4,0.171447,0,648494,105000,FALSE
1,0,0,118,1,0,1,4,0.495,0,23527,35000,FALSE
4,1,0,79,0,1,0,3,0,0,3809,35000,FALSE
0,0,6,196,0,0,0,0,0,0,0,25000,TRUE
8,0,2,207,4,0,0,9,0.272217,0,13150,42000,FALSE
2,0,0,10,0,0,0,1,0,0,13300,46000,FALSE
4,0,3,114,0,0,0,21,0,0,38753,12000,FALSE
4,0,0,79,1,0,0,6,0.719,0,23000,40000,FALSE
0,0,1,104,1,0,0,2,0,0,51900,12000,FALSE
5,0,0,192,0,0,2,4,1.04829,0,29372,75000,FALSE
6,1,0,259,1,0,0,4,1.2,0,28082,50000,FALSE
0,0,7,196,0,0,0,3,0.447529,0,34669,45000,FALSE
4,0,0,187,0,0,0,8,0.387745,0,39385,54000,FALSE
0,0,3,314,0,0,0,1,0,0,0,36000,TRUE
1,0,0,394,0,0,0,3,0,0,343751,65000,FALSE
7,0,0,41,0,0,0,8,0.702019,0,22292,22000,FALSE
6,0,0,121,4,0,0,14,0.68101,0,116299,52500,FALSE
3,0,0,21,14,0,0,2,0,0,5233,19000,FALSE
2,0,2,270,1,0,1,2,0,0,19512,65000,FALSE
1,0,7,246,1,0,0,1,0,0,15419,30000,FALSE
1,0,2,142,0,0,0,0,0,0,0,30000,TRUE
1,0,0,138,0,0,1,3,0.663333,0,53586,20000,FALSE
12,0,4,360,4,0,0,21,0.458857,0,102011,35500,FALSE
3,0,2,101,2,0,0,3,0,0,13248,30000,FALSE
1,0,2,107,1,0,0,2,0.836667,0,5784,15000,FALSE
5,0,0,383,3,0,0,8,0.295257,0,820302,115000,FALSE
7,0,0,72,1,0,0,7,0.533561,0,24359,35000,FALSE
6,0,0,109,5,0,0,5,0.856182,0,46821,29000,FALSE
14,0,0,266,5,0,0,15,0.893187,0,62847,171000,FALSE
3,0,0,130,2,0,0,5,0.195581,0,71569,65000,FALSE
6,0,1,340,6,0,0,18,0,0,126210,25000,FALSE
3,0,0,17,1,0,0,3,0.731765,0,3677,20000,FALSE
12,0,0,46,0,0,0,19,0.848732,0,77356,12000,FALSE
22,0,1,187,16,0,0,23,0.477565,0,57071,55000,FALSE
4,0,3,99,1,0,1,21,1.08176,0,79668,42000,FALSE
13,0,0,277,4,0,0,10,0.781739,0,41179,40000,FALSE
4,0,1,118,1,0,0,9,0.870149,0,60316,22000,FALSE
8,1,2,190,4,0,0,16,1.07606,0,45711,35000,FALSE
2,0,1,102,2,0,0,2,1.14462,0,1300,40000,FALSE
5,0,0,136,2,0,0,9,0.811021,0,193773,62000,FALSE
10,0,1,365,0,0,0,14,0.994606,0,33802,35000,FALSE
8,0,1,85,2,0,0,15,0.418909,0,49203,33000,FALSE
7,0,0,198,1,0,0,8,0.613194,0,27997,75000,FALSE
10,0,1,171,0,0,0,9,1.27509,0,53772,47000,FALSE
4,0,1,274,7,0,0,3,0.724706,0,28249,30000,FALSE
0,0,2,150,1,0,1,8,0,0,36300,64000,FALSE
1,0,5,269,2,0,0,1,0,0,11430,65000,FALSE
3,0,3,307,0,0,0,5,1.12333,0,74685,90000,FALSE
11,0,0,357,4,0,0,10,0.909888,0,24838,35500,FALSE
13,0,0,110,0,0,0,15,0.660531,0,270147,60000,FALSE
9,0,0,157,7,0,0,7,0.640667,0,76263,75000,FALSE
4,0,4,176,0,0,0,12,0.858088,0,100551,107000,FALSE
1,0,6,217,2,0,0,0,0,0,0,1738,TRUE
1,0,1,117,0,0,0,9,0.674297,0,69529,32500,FALSE
2,0,0,91,0,0,0,16,0.708997,0,152999,43451,FALSE
2,0,2,180,6,0,0,1,0.653333,0,300,40000,FALSE
4,0,1,155,2,0,0,5,1.0359,0,35228,90000,FALSE
0,0,4,345,0,0,0,2,0,0,20642,27000,FALSE
5,0,1,240,1,0,0,6,0.636977,0,139252,73000,FALSE
2,0,1,187,1,0,0,3,0.832917,0,2400,20000,FALSE
6,0,0,339,5,0,0,4,0.0971171,0,11100,20000,FALSE
5,0,0,439,2,0,0,7,0.66675,0,102200,74000,FALSE
2,0,1,222,0,0,0,2,0.975333,0,4125,68000,FALSE
1,0,4,214,0,0,0,1,0,0,14063,40000,FALSE
2,0,1,284,4,0,0,8,0.57808,0,281361,50000,FALSE
15,0,2,54,2,0,0,12,0.560835,0,59651,40000,FALSE
2,0,3,220,5,0,0,2,0,0,51728,24000,FALSE
4,0,1,180,0,0,0,15,0.958918,0,365732,74000,FALSE
7,0,0,97,1,0,0,7,0.194264,0,73894,57000,FALSE
2,0,1,128,0,0,0,10,0.532975,0,25269,41200,FALSE
8,0,3,183,3,1,0,0,0,0,0,34000,TRUE
4,0,2,140,0,0,0,12,0.695,0,71608,70000,FALSE
4,0,5,132,0,0,0,12,0.254194,0,45021,200000,FALSE
9,0,0,65,8,0,0,11,0.653974,0,235497,33280,FALSE
2,0,1,189,2,0,0,4,0.854353,0,25525,44000,FALSE
7,0,1,382,2,0,0,7,0.975822,0,39538,79600,FALSE
7,0,2,383,2,0,0,5,0.492222,0,5171,46000,FALSE
4,0,0,106,0,0,0,4,0.828657,0,6700,31000,FALSE
9,0,0,223,0,0,0,10,0.656923,0,262204,64788,FALSE
22,0,0,225,1,0,0,7,0.726995,0,96015,60000,FALSE
0,0,0,58,0,0,0,1,0,0,7899,30000,FALSE
3,0,1,78,1,1,0,6,0,0,28632,37960,FALSE
4,0,3,182,10,0,0,4,0.808,0,69058,25000,FALSE
0,0,2,187,1,0,0,1,0,0,14801,30000,FALSE
3,0,2,165,1,0,0,0,0,0,0,20400,FALSE
6,0,2,198,4,0,0,6,0.858333,0,1680,30000,FALSE
1,1,0,149,2,1,0,2,1,0,7778,50232,FALSE
4,0,5,168,13,0,0,11,0,0,31997,85000,FALSE
5,0,1,94,2,0,0,8,0.824294,0,93931,70000,FALSE
1,0,0,71,1,0,0,7,0.60725,0,33914,44150,FALSE
9,0,0,82,4,0,0,16,0.85098,0,24619,26736,FALSE
3,0,6,106,6,1,0,5,0.987516,0,38993,60000,FALSE
5,0,1,204,4,0,0,9,0.85375,0,68622,85000,FALSE
2,0,2,81,2,0,0,3,0,0,36189,78000,FALSE
1,0,1,154,2,0,0,3,0.736579,0,3800,78000,FALSE
1,0,6,59,1,0,0,1,0,0,8011,35000,FALSE
1,0,2,184,1,0,0,0,0,0,0,15000,TRUE
